card,group,scene,policy,upgraded,mode,control,n,before_valid,after_valid,before_dwin_pp,after_dwin_pp,after_ci95_lo_pp,after_ci95_hi_pp,before_dhp,after_dhp,before_dturns,after_dturns,before_plays,after_plays,before_ready_plays,after_ready_plays,after_seen_turns,after_playable_turns,after_empty_plays,after_unused_qi,before_aborts,after_aborts,final_source
wanren,primary,starter-single-group,greedy,0,add1,skip,300,True,True,0,0,-1.647,1.647,2.11,4.07667,-0.7,-0.91333,445,424,0,0,424,424,0,0,0,0,after-wanren
wanren,primary,starter-single-group,greedy,0,add2,skip,300,True,True,0,0,-1.647,1.647,2.79667,6.07333,-0.85333,-1.17667,595,530,0,0,667,667,0,0,0,0,after-wanren
wanren,primary,starter-single-group,greedy,0,replace,shuiyanqijun,300,True,True,0,0,-1.647,1.647,1.15333,3.12,-0.42667,-0.64,445,424,0,0,424,424,0,0,0,0,after-wanren
wanren,primary,starter-single-group,greedy,1,add1,skip,300,True,True,0,0,-1.647,1.647,4.07667,6.27667,-0.91333,-1.18,424,391,0,0,391,391,0,0,0,0,after-wanren
wanren,primary,starter-single-group,greedy,1,add2,skip,300,True,True,0,0,-1.647,1.647,6.07333,8.70667,-1.17667,-1.47333,530,474,0,0,601,601,0,0,0,0,after-wanren
wanren,primary,starter-single-group,greedy,1,replace,shuiyanqijun,300,True,True,0,0,-1.647,1.647,-0.86667,1.33333,0.06333,-0.20333,424,391,0,0,391,391,0,0,0,0,after-wanren
wanren,primary,starter-single-group,tactical,0,add1,skip,300,True,True,0,0,-1.647,1.647,0.65333,1.72,-1.22,-1.70667,378,456,0,0,474,474,0,0,0,0,after-wanren
wanren,primary,starter-single-group,tactical,0,add2,skip,300,True,True,0,0,-1.647,1.647,0.43333,2.09667,-1.64,-2.11,500,561,0,0,721,721,0,0,0,0,after-wanren
wanren,primary,starter-single-group,tactical,0,replace,shuiyanqijun,300,True,True,0,0,-1.647,1.647,-1.09333,-0.02667,0.5,0.01333,378,456,0,0,474,474,0,0,0,0,after-wanren
wanren,primary,starter-single-group,tactical,1,add1,skip,300,True,True,0,0,-1.647,1.647,1.72,3.26333,-1.70667,-2.05333,456,434,0,0,450,450,0,0,0,0,after-wanren
wanren,primary,starter-single-group,tactical,1,add2,skip,300,True,True,0,0,-1.647,1.647,2.09667,4.09667,-2.11,-2.46667,561,483,0,0,640,640,0,0,0,0,after-wanren
wanren,primary,starter-single-group,tactical,1,replace,shuiyanqijun,300,True,True,0,0,-1.647,1.647,-1.58667,-0.04333,0.34333,-0.00333,456,434,0,0,450,450,0,0,0,0,after-wanren
wanren,primary,act1-bosses,greedy,0,add1,skip,300,True,True,-17.6667,-4.0,-13.7587,5.8905,-3.56,0.31,-0.26667,-0.53667,726,704,0,0,862,740,0,0,0,0,after-wanren
wanren,primary,act1-bosses,greedy,0,add2,skip,300,True,True,-24.0,-7.3333,-16.523,2.0979,-5.82333,-1.17333,-0.35,-0.79667,1134,1080,0,0,1478,1253,0,0,0,0,after-wanren
wanren,primary,act1-bosses,greedy,0,replace,shuiyanqijun,300,True,True,-14.6667,-1.0,-8.9562,6.9891,-2.62667,1.23667,-0.05,-0.29667,726,704,0,0,862,740,0,0,0,0,after-wanren
wanren,primary,act1-bosses,greedy,1,add1,skip,300,True,True,-3.0,9.6667,0.4758,18.5391,0.38,4.46333,-0.52333,-0.81333,706,689,0,0,825,712,0,0,0,0,after-wanren
